,Skills
0,Agile Coaching
1,Agile Leadership
2,Agile Management
3,Agile Methodology
4,Agile Modeling
5,Agile Project Management
6,Agile Projects
7,Agile Software Development
8,Agile Testing
9,Backlogs
10,Behavior-Driven Development
11,Disciplined Agile Delivery
12,Dynamic Systems Development Methods
13,Extreme Programming
14,Feature-Driven Development (FDD)
15,Iterative And Incremental Development
16,JIRA
17,Jira Align
18,Oracle Agile
19,Pair Programming
20,Pivotal Tracker (Software)
21,Product Backlog Grooming
22,Rally Software
23,RallyDev
24,Rapid Application Development
25,Redmine
26,Scaled Agile Framework
27,Scrum (Software Development)
28,Sprint Backlogs
29,Sprint Planning
30,Sprint Retrospectives
31,Story Point Estimation
32,Test-Driven Development (TDD)
33,Timeboxing
34,Unified Process
35,VersionOne
36,ZenHub
37,.NET Remoting
38,Amazon API Gateway
39,Amazon Product Advertising API
40,API Design
41,API Gateway
42,API Management
43,API Throttling
44,Application Development System Online (ADSO)
45,Application Programming Interface (API)
46,Aspose
47,AWS AppSync
48,Azure API Apps
49,Azure API Management
50,Box API
51,Camera API
52,Content Repository API For Java
53,Core API
54,Core Audio
55,Direct3D
56,Document.write
57,Facebook API
58,Facebook Graph API
59,FastAPI
60,Generic Buffer Management
61,Google APIs
62,Graphics APIs
63,Graphics Device Interface
64,Hardware Platform Interface
65,Hasura GraphQL Engine
66,Hateoas
67,Java Advanced Imaging
68,Java API For RESTful Web Services
69,Java API For XML Processing
70,Java API For XML Registries
71,Java Persistence API
72,Java Remote Method Invocation
73,JavaMail
74,Libvirt
75,LinkedIn API
76,Location APIs
77,Mbeans (Java APIs)
78,Microsoft UI Automation
79,Mobile Rich Media Ad Interface Definitions (MRAID)
80,Native API
81,NetBIOS
82,Object Linking And Embedding - Database (OLE DB)
83,OpenAPI
84,OpenAPI Specification
85,OpenCL
86,OpenMAX
87,OpenMP
88,Pluggable Authentication Module (PAM)
89,POSIX Threads
90,Postman API Platform
91,Remote Application Platform
92,REST API Development
93,REST API Development
94,Rest Client
95,RESTEasy (JBoss)
96,RESTful API
97,Social Media APIs
98,Software Adapters
99,Strongloop
100,Swagger UI
101,Task Parallel Library (.NET Framework)
102,Vulkan Graphics API
103,Wcf Rest
104,WCF/Web API
105,WebRTC
106,Windows API
107,WordPress REST API
108,Workflow APIs
109,3D Reconstruction
110,Activity Recognition
111,AdaBoost (Adaptive Boosting)
112,Adversarial Machine Learning
113,AIOps (Artificial Intelligence For IT Operations)
114,Amazon Textract
115,Apache Mahout
116,Apache MXNet
117,Apache SINGA
118,Applications Of Artificial Intelligence
119,Artificial Intelligence
120,Artificial Intelligence Development
121,Artificial Intelligence Markup Language (AIML)
122,Artificial Intelligence Systems
123,Artificial Neural Networks
124,Association Rule Learning
125,Autoencoders
126,Automated Machine Learning
127,AWS SageMaker
128,Azure Cognitive Services
129,Azure Machine Learning
130,Baidu
131,Boosting
132,Caffe
133,Caffe2
134,Chatbot
135,Classification And Regression Tree (CART)
136,Cognitive Automation
137,Cognitive Computing
138,Cognitive Robotics
139,Collaborative Filtering
140,Computational Intelligence
141,Confusion Matrix
142,Convolutional Neural Networks
143,Cortana
144,Cudnn
145,Dask (Software)
146,Deep Learning
147,Deep Learning Methods
148,Deeplearning4j
149,Dialog Systems
150,Dlib (C++ Library)
151,Ensemble Methods
152,Evolutionary Acquisition Of Neural Topologies
153,Expert Systems
154,Fast.ai
155,Feature Engineering
156,Feature Extraction
157,Feature Learning
158,Feature Selection
159,Game Ai
160,General-Purpose Computing On Graphics Processing Units
161,Genetic Algorithm
162,Gesture Recognition
163,Google AutoML
164,Gradient Boosting
165,H2O.ai
166,Hidden Markov Model
167,Inference Engine
168,Intelligent Agent
169,Intelligent Control
170,Intelligent Systems
171,Intelligent Virtual Assistant
172,Interactive Kiosk
173,IPSoft Amelia
174,Kaldi
175,Keras (Neural Network Library)
176,Kernel Methods
177,Knowledge-Based Configuration
178,Knowledge-Based Systems
179,Kubeflow
180,Long Short-Term Memory (LSTM)
181,Machine Learning
182,Machine Learning Algorithms
183,Machine Learning Methods
184,Meta Learning
185,Microsoft Cognitive Toolkit (CNTK)
186,Microsoft LUIS
187,MLflow
188,MLOps (Machine Learning Operations)
189,mlpack (C++ Library)
190,Multi-Agent Systems
191,Nvidia Jetson
192,Objective Function
193,OmniPage
194,Open Neural Network Exchange (ONNX)
195,OpenAI Gym
196,OpenCV
197,OpenVINO
198,PaddlePaddle
199,Pydata
200,PyTorch (Machine Learning Library)
201,Random Forest Algorithm
202,Reasoning Systems
203,Recommender Systems
204,Recurrent Neural Network (RNN)
205,Reinforcement Learning
206,Scikit-learn (Machine Learning Library)
207,Semi-Supervised Learning
208,Seq2Seq
209,Sorting Algorithm
210,Speech Recognition Software
211,Speech Synthesis
212,Supervised Learning
213,Support Vector Machine
214,TensorFlow
215,Test Datasets
216,Text-To-Speech
217,Theano (Software)
218,Torch (Machine Learning)
219,Training Datasets
220,Transfer Learning
221,Unsupervised Learning
222,Voice Assistant Technology
223,Voice Interaction
224,Voice User Interface
225,Vowpal Wabbit
226,Watson Conversation
227,Watson Studio
228,Xgboost
229,ARCore
230,ARKit
231,Augmented Reality
232,Augmented Reality (AR) Headsets
233,Enscape (VR Rendering Software)
234,Extended Reality
235,Head-Mounted Displays (HMD)
236,Hololens (VR Technology)
237,Interactive 3D
238,Kinect
239,Leap Motion
240,Matterport
241,Metaverse
242,Mixed Reality
243,Oculus
244,Samsung Gear VR
245,Skybox
246,Sony Playstation VR
247,Virtual Reality
248,Virtual Reality Modeling Language
249,Virtual Reality Scene Generators
250,Vuforia
251,WebVR
252,AWS Backup
253,Backup Administration
254,Backup Agent
255,Backup And Restore
256,Backup Devices
257,Backup Replication
258,Backup Tools (Backup Software)
259,BackupPC
260,Bacula
261,Clonezilla
262,Cloudberry
263,CommVault
264,Disk Imaging
265,EMC Avamar
266,EMC NetWorker
267,File Generation
268,Ghost (Backup Software)
269,HP Data Protector
270,IBM Aggregate Backup And Recovery Systems
271,IBM Tivoli Storage Manager
272,Incremental Backup
273,NetBackup
274,Network Data Management Protocol
275,Percona Xtrabackup (Software)
276,RecoverPoint
277,Recovery Manager (RMAN)
278,Remote Backup Services
279,Shadow Copy
280,ShadowProtect
281,SQL Backup And Restore
282,Symantec Backup Exec
283,System Imaging
284,Tape Management Systems
285,Virtual Backup
286,Xfs
287,Apple IPad
288,Apple Products
289,Basic Internet Skills
290,Business Computer Systems
291,Computer Keyboards
292,Computer Literacy
293,Computer Maintenance
294,Computer Terminals
295,Desktop Computing
296,Digital Citizenship
297,Digital Data
298,Digital Literacy
299,Digital Technology
300,File Format
301,Firefox
302,Google Applications
303,Google Maps
304,Google Photos
305,Handheld PC
306,Image File Formats
307,Image Importing And Exporting
308,Keyboard Shortcuts
309,Keypad
310,Macintosh Software
311,Microsoft Edge
312,Microsoft Internet Explorer
313,Microsoft Software
314,Mobile Apps
315,Mobile Phones
316,Online Communication
317,Personal Computers
318,Personal Digital Assistant
319,Plain Text
320,QWERTY
321,Safari (Web Browser)
322,Screen Capture
323,Screen Sharing
324,Smartphone Operation
325,Tablets
326,Typing
327,Voicemail
328,Web Browsers
329,Web Navigation
330,Word Processing
331,Blockchain
332,Blockchain Indexing
333,Blockchain Security
334,Chaincode
335,Consensus Mechanism
336,Distributed Ledgers
337,Ethereum
338,Hyperledger
339,Merkle Trees
340,Non-Fungible Tokens (NFT)
341,Permissioned Blockchains
342,Proof Of Stake
343,Smart Contracts
344,Solidity (Programming Language)
345,Truffle (Software)
346,Boost (C++ Libraries)
347,Borland C++ (Borland Software)
348,C (Programming Language)
349,C++ (Programming Language)
350,C++ Concepts
351,C++ Server Pages
352,C++/CLI
353,C++14
354,C-Based Programming Languages
355,Cppcheck
356,Cppunit
357,Embedded C
358,Embedded C++
359,Managed Extensions For C++
360,Microsoft Foundation Class Library (C++ Libraries)
361,MISRA C (C Programming Language)
362,Objective-C (Programming Language)
363,OpenFrameworks
364,Pro*C
365,Standard Template Library (STL)
366,SystemC
367,Vision-Something-Library (VXL)
368,Visual C++ (Programming Language)
369,WxWidgets
370,Apache CloudStack
371,Autoscaling
372,AWS Cloud Development Kit (CDK)
373,Cloud Administration
374,Cloud Application Development
375,Cloud Applications
376,Cloud Collaboration
377,Cloud Computing
378,Cloud Computing Architecture
379,Cloud Computing Security
380,Cloud Development
381,Cloud Engineering
382,Cloud Governance
383,Cloud Hosting
384,Cloud Infrastructure
385,Cloud Management
386,Cloud Migration
387,Cloud Operations
388,Cloud Platform System
389,Cloud Services
390,Cloud Storage
391,Cloud Technologies
392,Cloud Testing
393,Cloud-Based Integration
394,Cloud-Native Applications
395,Cloud-Native Architecture
396,Cloud-Native Computing
397,Cloud-Native Infrastructure
398,Cloud-To-Cloud
399,Elasticity Computing
400,Fog Computing
401,Hybrid Cloud Computing
402,Multi-Tenant Cloud Environments
403,OpenStack
404,Private Cloud
405,Public Cloud
406,Serverless Computing
407,Virtual Private Cloud
408,Alibaba Cloud
409,Amazon Cloud Drive
410,Amazon Cloudfront
411,Amazon CloudWatch
412,Amazon Connect
413,Amazon Data Pipeline
414,Amazon Elastic Compute Cloud
415,Amazon Elastic Container Service
416,Amazon Elastic File System
417,Amazon Elastic Kubernetes Service
418,Amazon ElastiCache
419,Amazon Mechanical Turk
420,Amazon Route 53
421,Amazon S3
422,Amazon Simple Notification Service (SNS)
423,Amazon Simple Workflow Service (SWF)
424,Amazon Virtual Private Cloud (VPC)
425,Apigee
426,Aspera (Software)
427,AWS Auto Scaling
428,AWS Batch
429,AWS CloudFormation
430,AWS CodeBuild
431,AWS Cost Management
432,AWS Directory Service
433,AWS Inferentia
434,AWS Kinesis
435,AWS Lambda
436,AWS Serverless
437,Azure Automation
438,Azure Batch
439,Azure Blueprints
440,Azure Cloud Services
441,Azure Command-Line Interface (Azure CLI)
442,Azure Data Catalog
443,Azure Data Lake
444,Azure Kubernetes Service
445,Azure Logic Apps
446,Azure Monitor
447,Azure Web Apps
448,BigQuery
449,BigTable
450,Bit.ly
451,Browserstack
452,Cloud Database
453,Cloud Foundry
454,Cloud Management Platforms
455,CloudBase
456,Cloudbees
457,Cloudera Manager
458,Cloudfoundry
459,Cloudhub
460,Cloudify
461,Colocation
462,Cyberduck
463,Data as a Service (DaaS)
464,Data Transport Utility
465,Database As A Service (DBaaS)
466,Datadog
467,Dataflow
468,Dell Boomi (Integration Platform)
469,Desktop Cloud Visualization (DCV)
470,DigitalOcean
471,Distributed Replicated Block Device
472,EchoSign
473,Elastic (ELK) Stack
474,FastTrack
475,FinancialForce
476,Firebase Cloud Messaging (FCM)
477,Gcloud
478,GlusterFS
479,Google App Engines
480,Google Cloud
481,Google Cloud Build
482,Google Cloud Composer
483,Google Cloud Dataproc
484,Google Cloud Messaging
485,Google Cloud Platform (GCP)
486,Google Compute Engine (GCE)
487,Google Groups
488,Google Storage
489,Heroku
490,IBM Bluemix
491,IBM Cloud Computing
492,IBM SAN Volume Controllers
493,IBM Storage
494,ICloud
495,Infinispan
496,Informatica Cloud
497,Infoview
498,Infrastructure As A Service (IaaS)
499,Integration Platform As A Service (IPaaS)
500,Jitterbit Integration Servers
501,Joyent
502,Linode
503,Loggly
504,Matillion
505,Microsoft Azure
506,MicroStrategy Web
507,Multi-Cloud
508,Multiplatform
509,NetApp Applications
510,Nimsoft
511,Onelogin
512,OpenAM
513,OpenShift
514,OpenSSO
515,Oracle Autonomous Database
516,Oracle Cloud
517,Oracle Human Capital Management (HCM)
