skills_list,skill_type,0
.NET Framework,Hard Skill,6
.NET Framework 4,Hard Skill,5
5G Technology,Hard Skill,2
AAA Server (Authentication Authorization And Accounting),Hard Skill,1
ADO.NET (Programming Language),Hard Skill,5
ARM Architecture,Hard Skill,13
ASP.NET,Hard Skill,48
ASP.NET Core,Hard Skill,14
ASP.NET Core MVC,Hard Skill,2
ASP.NET Extensions For AJAX,Hard Skill,6
ASP.NET Web API,Hard Skill,1
AWS Identity And Access Management (IAM),Hard Skill,17
Ability To Meet Deadlines,Soft Skill,16
Abstractions,Hard Skill,8
Acceptable Use Policy,Hard Skill,4
Access Control List,Hard Skill,3
Access Control Matrix,Hard Skill,3
Access Network,Hard Skill,8
Accountability,Soft Skill,429
Active Directory,Hard Skill,48
Active Learning,Soft Skill,30
Active Listening,Soft Skill,22
Active Record Pattern,Hard Skill,20
Active Server Pages (ASP),Hard Skill,16
Ad Hoc Testing,Hard Skill,48
Adaptability,Soft Skill,218
Addressing Schemes,Hard Skill,1
Admin Tools,Hard Skill,1
Administrative Skills,Soft Skill,20
Adobe Dreamweaver,Hard Skill,2
Adobe Experience Manager,Hard Skill,62
Advanced Business Application Programming (ABAP),Hard Skill,5
Advanced RISC Computing,Hard Skill,3
Advantage Database Servers,Hard Skill,3
Agenda (Meeting),Soft Skill,41
Aggregator,Hard Skill,4
Agile Methodology,Hard Skill,16
Agile Project Management,Hard Skill,2
Agile Projects,Hard Skill,7
Agile Software Development,Hard Skill,10
Agilent VEE (Domain-Specific Programming Language),Hard Skill,2
Agility,Hard Skill,209
Alfresco ECM,Hard Skill,7
Algorithms,Hard Skill,35
Alibaba Cloud,Hard Skill,10
Amazon Cloud Drive,Hard Skill,2
Amazon Data Pipeline,Hard Skill,7
Amazon DynamoDB,Hard Skill,3
Amazon Web Services,Hard Skill,3
Analytical Skills,Soft Skill,155
Android (Operating System),Hard Skill,75
Android Applications,Hard Skill,16
Android Development,Hard Skill,13
Android SDK,Hard Skill,3
Android Software Development,Hard Skill,1
Angular (Web Framework),Hard Skill,8
Angular Material,Hard Skill,1
Ansible,Hard Skill,6
Antivirus Software,Hard Skill,13
Apache Ant,Hard Skill,3
Apache Cassandra,Hard Skill,1
Apache Flume,Hard Skill,3
Apache Maven,Hard Skill,1
Apex Code,Hard Skill,10
App Store (IOS),Hard Skill,4
Apple IPad,Hard Skill,18
Apple Network Servers,Hard Skill,31
Apple Software Update,Hard Skill,22
Apple Xcode,Hard Skill,3
Application Client,Hard Skill,18
Application Data,Hard Skill,17
Application Delivery Controller,Hard Skill,18
Application Delivery Network,Hard Skill,21
Application Development,Hard Skill,65
Application Development Languages,Hard Skill,30
Application Environments,Hard Skill,20
Application Layers,Hard Skill,1
Application Lifecycle Management,Hard Skill,4
Application Performance Management,Hard Skill,15
Application Portfolio Management,Hard Skill,6
Application Programming Interface (API),Hard Skill,71
Application Release Automation,Hard Skill,12
Application Security,Hard Skill,22
Application Servers,Hard Skill,7
Application Settings,Hard Skill,3
Application-Specific Information,Hard Skill,11
Applications Architecture,Hard Skill,2
Arabic Language,Soft Skill,679
ArcGIS (GIS Software),Hard Skill,2
Architectural Development,Hard Skill,9
Architectural Patterns,Hard Skill,2
Architecture Framework,Hard Skill,6
Archive File,Hard Skill,4
Artificial Intelligence,Hard Skill,42
Artificial Neural Networks,Hard Skill,4
Aruba (Network Management Software),Hard Skill,15
Aspect-Oriented Programming,Hard Skill,14
Assembly Language,Hard Skill,1
Assessment And Authorization,Hard Skill,2
Atomicity Consistency Isolation Durability (ACID),Hard Skill,4
Attack Surface Management,Hard Skill,4
Attribute Change Package,Hard Skill,1
Audit Info System (AIS),Hard Skill,10
Augmented Reality,Hard Skill,16
Authentications,Hard Skill,92
Authoring Systems,Hard Skill,2
Authorization (Computing),Hard Skill,73
Automated Code Review,Hard Skill,3
Automated Testing Framework,Hard Skill,1
Automatically Programmed Tool,Hard Skill,10
Automation,Hard Skill,341
Automation Controls,Hard Skill,17
Availability Monitoring,Hard Skill,1
Avaya (Telecommunications),Hard Skill,2
Azure Cloud Services,Hard Skill,7
Azure Data Factory,Hard Skill,2
Azure Kubernetes Service,Hard Skill,2
Azure Service Fabric,Hard Skill,15
Azure Web Apps,Hard Skill,2
Back End (Software Engineering),Hard Skill,23
Background Application,Hard Skill,9
Backlogs,Hard Skill,29
Backup And Restore,Hard Skill,10
Backup Devices,Hard Skill,2
Backup Replication,Hard Skill,3
Backup Tools (Backup Software),Hard Skill,2
Base Stations,Hard Skill,1
Bash (Scripting Language),Hard Skill,4
Basic Internet Skills,Soft Skill,16
Basis Database,Hard Skill,1
Batch Processing,Hard Skill,2
Batch Scripting,Hard Skill,2
Behavior-Driven Development,Hard Skill,11
Bing Search,Hard Skill,1
Blackberry,Hard Skill,2
Blade Servers,Hard Skill,1
Blockchain,Hard Skill,17
BluePrism (RPA Software),Hard Skill,1
Bluecoat Proxies,Hard Skill,1
Boost (C++ Libraries),Hard Skill,51
Boosting,Hard Skill,29
Bootstrap (Front-End Framework),Hard Skill,12
Brainstorming,Soft Skill,18
Brocade Network Technologies,Hard Skill,1
Brocade Switches,Hard Skill,2
Browser Compatibility,Hard Skill,3
Bugzilla,Hard Skill,1
Build Automation,Hard Skill,7
Build Events,Hard Skill,3
Build Process,Hard Skill,8
Business Administration,Soft Skill,164
Business Computer Systems,Hard Skill,1
Business Information System,Hard Skill,15
Business Operations,Soft Skill,44
Business Proposals,Soft Skill,8
Business Telephone Systems,Hard Skill,3
C (Programming Language),Hard Skill,298
C-Based Programming Languages,Hard Skill,33
CLIST,Hard Skill,4
CPanel,Hard Skill,2
Caffe,Hard Skill,3
Capacity Management,Hard Skill,4
CentOS,Hard Skill,3
Channel State Information,Hard Skill,24
Checklists,Soft Skill,28
Chef (Configuration Management Tool),Hard Skill,30
Cisco NAC Appliance,Hard Skill,20
Cisco Networking,Hard Skill,132
Cisco Nexus Switches,Hard Skill,12
Cisco Routers,Hard Skill,18
Cisco Unified Communications Manager,Hard Skill,1
Classification And Regression Tree (CART),Hard Skill,1
Cleanliness,Soft Skill,50
Client Server Models,Hard Skill,28
Closed Loop,Hard Skill,1
Cloud Application Development,Hard Skill,16
Cloud Computing,Hard Skill,31
Cloud Computing Architecture,Hard Skill,15
