,Unnamed: 0,Job Name,Date,Link,job_description
0,0,Information technology technician,04/20/2023,https://www.wadhefa.com/english/details/job/71443/search/,"IT Technician required to work on all IT installations, CCTV Camera, Music System, POS, WiFi etc

And also:
Manage all in-store technical challenges related to computer, catering, printer, etc
Enterprise resource planning management"
1,1,Sales and Marketing Engineer,04/19/2023,https://www.wadhefa.com/english/details/job/71440/search/,"Marketing the company's products and services in the field of computers and information technology
Obtaining works, projects, contracts and tenders with government agencies and major companies in the field of computers and information technology"
2,2,IT technician,04/18/2023,https://www.wadhefa.com/english/details/job/71413/search/,"- Troubleshoot & Resolve Technical issues and incidents
- Escalate incidents to other support groups where appropriate in a timely manner.
- Receive all service request from the end users.
- Provide the first line of support for standard requests.
- Follow up the request through lifecycle and update the Customer/Requestor with the request status.
- Communicate with the Customer/Requestor if the request is denied or once it has been fulfilled.
- Perform operational and administration tasks for entire IT Infrastructure and application
- Diagnose, and perform proper assessment of Network and systems related issues, and their resolution as L1 support in a timely manner.
- Communicate and coordination with the internal / external L2 support team as required for proper escalation of the incidents
- Installation, configuration and troubleshooting for PC’s and IT devices
- Conduct Infrastructure\application performance analysis across different regions and provide the performance reports to management.
- Perform Incidents analysis and diagnostic to find the root cause of the incidents and escalate the repeating incidents to problem management team.
- Answer IT support calls , emails, Tickets providing solutions and/or escalating requests and incidents to designated second level responders.
- Proceed ITSM tickets for IT inquiries\incidents\service requests and follow-ups to ensure tickets are updated and acknowledged to the point of verifying completion and closing them out.
- Perform operational and administration tasks for IT Infrastructure\Applications in different regions using available tools to ensure the high availability.
- Perform Incidents analysis and diagnostic to find the root cause of the incidents and escalate the repeating incidents to problem management team.
- Coordinate with the system owners to deploy the permanent resolution of the problems and update the CMDB and KEDB as required."
3,3,Network administrator,04/12/2023,https://www.wadhefa.com/english/details/job/71327/search/,"• Configuring & Monitoring Cisco Routers and Switches.
• Fixing network faults, Network Maintenance, Technical support for people using the Network.
• Developed and recommend Network security measure, such as Firewalls, Network Security audits.
• Overseeing Network security of all systems, installing antivirus protection.
• Maintain Networks by performing activities.
• Windows software operator Install windows server, create domain, create domain users, create group policy and active directory.
• Test network connections and troubleshoot and terminate RJ45 and Patch Panels and installing new Hardware (server, printers, compute, etc.).
• Install CCTV cameras and access control devices.
• Configuration of domain server.
• Google Email configuration and setup.
• Working on Cloud servers.
• Backup solutions.
• Configuring Security Features like Access list, Port Security and Assigning privilege levels Security to the Network Devices.
• Monitor network resources and perform preventative maintenance.
• Backup network configurations and test our restore process.
• IT Support relating to issues with the internal systems."
4,4,Network Engineer,04/10/2023,https://www.wadhefa.com/english/details/job/71268/search/,"- Maintain and intermittently improve our client network configuration and infrastructure.
- Monitor and maximize our network performance
- Provide troubleshooting and configuration support by using strong technical skills in Linux and/or Windows environments and IP networking
- Manage network devices and components like servers, services, switches and routers"
5,5,Cyber ​​security specialist,04/10/2023,https://www.wadhefa.com/english/details/job/71266/search/,A cyber security specialist with at least two years of experience is required to work in Riyadh
6,6,Equipment maintenance technician,04/06/2023,https://www.wadhefa.com/english/details/job/71184/search/,"Job Description:
- Diagnosing and repairing broken circuits or electronic parts that do not work, especially screens and projectors, and installing spare parts for missing parts
- Repairing problems in electrical parts and replacing damaged ones
- Examine electronic devices to search for problems and solve them by formatting the device or returning it to the factory setting
- Installing electronic devices, connecting wires and cables in devices or installing spare parts
- Testing systems performance, analyzing results and preparing reports on them
Use hand tools and electrical equipment to check system components and circuits
- Fix any malfunctions in circuits and systems
- Conducting periodic maintenance checks and documenting all its details
- Disassembling and assembling electronic parts
- Conducting technical checks on new devices
Writing reports on excel files
Analyzing, reading and interpreting technical data
- Commitment to occupational safety and health rules of specialization
Attending workshops and acquiring new skills when needed
- Assist in the training of junior technicians
Ensure that all electrical devices are operated in accordance with safety rules and troubleshoot any faults

required skills:
Understanding of the principles and science of electronics
- High ability to solve problems
Distinguish between the colors of the wires
- Manual dexterity and the ability to pay attention to all details
Performing preventive maintenance for all devices
Full knowledge of occupational health and safety protocols
Willingness to learn and have a passion for electronics
- High written and verbal communication skills"
7,7,network technician,04/06/2023,https://www.wadhefa.com/english/details/job/71165/search/,"Network technicians are required to work within an application where requests are sent to the technician, who receives the request and works on completing it with the client, and the application has a percentage of the final bill"
8,8,IT infrastructure manager,04/05/2023,https://www.wadhefa.com/english/details/job/71155/search/,"Primary Skills Required:
1. -VMware Certified Professional 6.0/6.5 - Data Center Virtualization / Cloud - Cisco UCS Manager Certification/Training/Exp, Cisco Hyperflex(HX) Certification/Training/Exp ,VMware NSX Training and Certification, 
2. Linux – Redhat / Centos 
3. vRealize Automation 
4. NSX firewall & Load balancer handling 
5. Hyperflex / springpath Hyperconvergence 

Secondary Skills Required:
1. Network understanding. 
2. Databases -Mysql / mongo 
3. Backup/ recovery solution – commvault / Veeam 

 Brief Job Description: 
- Installation/Administration of ESXi/Vcloud, NSX, Servers, vSphere Client and Vcenter Server.  
- Updating ESXi security patches and hotfixes.  
- Adding and changing networks and datastore’s.  
- Updating security patches on the virtual server operating system."
9,9,sales representative,04/05/2023,https://www.wadhefa.com/english/details/job/71138/search/,"Sales staff are required to work for a company working in the field of information technology in Riyadh
Working full time

Functional tasks:
Visiting stores
Sales system marketing"
