,Skills,rate
598,Maintainability,4.786858453173116
402,Executable,1.5143919591956296
511,Information Technology,1.2325008641870774
345,Digitization,1.1945539860128493
195,Component Object Model (COM),0.874716012830069
464,High-Level Architecture,0.7337704653257929
101,Automation,0.6163158424055628
206,Computer Science,0.5910179236227441
592,M (Programming Language),0.5910179236227441
1026,Technical Support,0.583789946827653
143,C (Programming Language),0.5386150918583337
804,R (Programming Language),0.5115101788767422
722,Operating Systems,0.4536863645160135
332,Development Support,0.4482653819196952
886,Security Accounts Manager,0.39224856175773937
344,Digital Transformation,0.37779260816755716
34,Agility,0.37779260816755716
1025,Technical Solution Design,0.37417861977001166
938,Software Development,0.3669506429749206
509,Information Systems,0.36152966037860224
275,Data Governance,0.3199687938068285
343,Digital Technology,0.3055128402166464
680,Network Management System,0.26395197364487266
912,Session (Computer Science),0.2621449794460999
244,Customer Requirements Analysis,0.24768902585591773
153,Cisco Networking,0.23865405486205388
248,Cyber Security,0.23504006646450837
209,Computer Systems,0.22419810127187173
383,Enterprise Application Software,0.22058411287432622
1117,Vulnerability,0.21516313027800787
