,Skills,rate
598,Maintainability,4.999999999999998
402,Executable,1.5804380664652562
511,Information Technology,1.285876132930513
345,Digitization,1.2462235649546825
195,Component Object Model (COM),0.9120090634441085
464,High-Level Architecture,0.7647280966767369
101,Automation,0.6419939577039272
206,Computer Science,0.6155589123867067
592,M (Programming Language),0.6155589123867067
1026,Technical Support,0.6080060422960722
143,C (Programming Language),0.560800604229607
804,R (Programming Language),0.5324773413897279
722,Operating Systems,0.47205438066465244
332,Development Support,0.4663897280966766
886,Security Accounts Manager,0.4078549848942597
344,Digital Transformation,0.39274924471299083
34,Agility,0.39274924471299083
1025,Technical Solution Design,0.3889728096676736
938,Software Development,0.3814199395770392
509,Information Systems,0.37575528700906335
275,Data Governance,0.3323262839879153
343,Digital Technology,0.31722054380664644
680,Network Management System,0.2737915407854984
912,Session (Computer Science),0.2719033232628398
244,Customer Requirements Analysis,0.2567975830815709
153,Cisco Networking,0.24735649546827787
248,Cyber Security,0.24358006042296065
209,Computer Systems,0.232250755287009
383,Enterprise Application Software,0.2284743202416918
1117,Vulnerability,0.22280966767371596
