,Skills,rate
598,Maintainability,3.7604229607250765
402,Executable,1.4270203927492475
511,Information Technology,1.3094033232628393
345,Digitization,1.2110838368580075
195,Component Object Model (COM),0.8407477341389721
464,High-Level Architecture,0.7847243202416908
206,Computer Science,0.6238293051359528
101,Automation,0.6189010574018137
592,M (Programming Language),0.6110083081571009
1026,Technical Support,0.6039841389728108
143,C (Programming Language),0.5738293051359513
804,R (Programming Language),0.5512839879154084
722,Operating Systems,0.49031344410876143
332,Development Support,0.435574018126888
886,Security Accounts Manager,0.39975453172205405
1025,Technical Solution Design,0.3888783987915405
344,Digital Transformation,0.3837424471299091
34,Agility,0.38361027190332303
938,Software Development,0.38242069486404795
509,Information Systems,0.37892749244712975
275,Data Governance,0.3385951661631417
343,Digital Technology,0.2999055891238667
912,Session (Computer Science),0.26965634441087644
680,Network Management System,0.26925981873111815
244,Customer Requirements Analysis,0.25290785498489415
153,Cisco Networking,0.2441842900302114
248,Cyber Security,0.24121978851963732
209,Computer Systems,0.23072129909365532
383,Enterprise Application Software,0.2256042296072504
1117,Vulnerability,0.2216012084592142
