,Skills,rate
598,Maintainability,1.8746143355370555
402,Executable,1.480796976898396
511,Information Technology,1.3439886067924887
345,Digitization,1.3024572848802394
195,Component Object Model (COM),0.8893856681004773
464,High-Level Architecture,0.8017427854039559
592,M (Programming Language),0.6197074268222235
206,Computer Science,0.5410548657764065
101,Automation,0.5395793662667723
1026,Technical Support,0.5078653816750553
804,R (Programming Language),0.48999079273101115
143,C (Programming Language),0.46076383114324465
722,Operating Systems,0.44210733104815136
332,Development Support,0.40678880350004126
509,Information Systems,0.3461613021555575
886,Security Accounts Manager,0.34475100885106724
344,Digital Transformation,0.33164028205701535
938,Software Development,0.30986833312818174
1025,Technical Solution Design,0.3035586982178593
34,Agility,0.29223706427661544
343,Digital Technology,0.25920548548922273
275,Data Governance,0.25761812458190714
680,Network Management System,0.2564211798781004
912,Session (Computer Science),0.22166694077177118
686,Network Security,0.21176598345318665
621,Microsoft Operations Manager,0.2099111285504892
383,Enterprise Application Software,0.19481352618758563
244,Customer Requirements Analysis,0.18927538816708
421,Firewall,0.1883383425507532
248,Cyber Security,0.18007518233548914
