,Skills,rate
598,Maintainability,4.999597258778507
402,Executable,1.5803135423461474
511,Information Technology,1.285775400330398
345,Digitization,1.2461262850390014
195,Component Object Model (COM),0.9119391564070074
464,High-Level Architecture,0.7646697886161196
101,Automation,0.6419461278630723
206,Computer Science,0.6155130859382569
592,M (Programming Language),0.6155125518671936
1026,Technical Support,0.6079596951984576
143,C (Programming Language),0.5607593157662882
804,R (Programming Language),0.5324374405115926
722,Operating Systems,0.47201950448957797
332,Development Support,0.46635585195653834
886,Security Accounts Manager,0.40782510000868555
34,Agility,0.392721766469734
344,Digital Transformation,0.39272133755255884
1025,Technical Solution Design,0.38894426722603187
938,Software Development,0.38139213141487105
509,Information Systems,0.3757285328423793
275,Data Governance,0.332303383543695
343,Digital Technology,0.3171987770892559
680,Network Management System,0.273772837752807
912,Session (Computer Science),0.27188445271055484
244,Customer Requirements Analysis,0.25678086458850574
153,Cisco Networking,0.24734067026558743
248,Cyber Security,0.24356441073088195
209,Computer Systems,0.23223608041439378
383,Enterprise Application Software,0.22845971157498884
1117,Vulnerability,0.22279450387128832
