,skills_list,count,rate
0,.NET Framework,6,0.009441087613293053
1,.NET Framework 4,5,0.007552870090634441
2,5G Technology,2,0.0018882175226586102
3,AAA Server (Authentication Authorization And Accounting),1,0.0
4,ADO.NET (Programming Language),5,0.007552870090634441
5,ARM Architecture,13,0.022658610271903325
6,ASP.NET,48,0.0887462235649547
7,ASP.NET Core,14,0.024546827794561934
8,ASP.NET Core MVC,2,0.0018882175226586102
9,ASP.NET Extensions For AJAX,6,0.009441087613293053
10,ASP.NET Web API,1,0.0
11,AWS Identity And Access Management (IAM),17,0.030211480362537763
12,Abstractions,8,0.013217522658610273
13,Acceptable Use Policy,4,0.005664652567975831
14,Access Control List,3,0.0037764350453172203
15,Access Control Matrix,3,0.0037764350453172203
16,Access Network,8,0.013217522658610273
17,Active Directory,48,0.0887462235649547
18,Active Record Pattern,20,0.035876132930513595
19,Active Server Pages (ASP),16,0.028323262839879154
20,Ad Hoc Testing,48,0.0887462235649547
21,Addressing Schemes,1,0.0
22,Admin Tools,1,0.0
23,Adobe Dreamweaver,2,0.0018882175226586102
24,Adobe Experience Manager,62,0.11518126888217523
25,Advanced Business Application Programming (ABAP),5,0.007552870090634441
26,Advanced RISC Computing,3,0.0037764350453172203
27,Advantage Database Servers,3,0.0037764350453172203
28,Aggregator,4,0.005664652567975831
29,Agile Methodology,16,0.028323262839879154
30,Agile Project Management,2,0.0018882175226586102
31,Agile Projects,7,0.011329305135951663
32,Agile Software Development,10,0.016993957703927493
33,Agilent VEE (Domain-Specific Programming Language),2,0.0018882175226586102
34,Agility,209,0.39274924471299094
35,Alfresco ECM,7,0.011329305135951663
36,Algorithms,35,0.06419939577039276
37,Alibaba Cloud,10,0.016993957703927493
38,Amazon Cloud Drive,2,0.0018882175226586102
39,Amazon Data Pipeline,7,0.011329305135951663
40,Amazon DynamoDB,3,0.0037764350453172203
41,Amazon Web Services,3,0.0037764350453172203
42,Android (Operating System),75,0.13972809667673716
43,Android Applications,16,0.028323262839879154
44,Android Development,13,0.022658610271903325
45,Android SDK,3,0.0037764350453172203
46,Android Software Development,1,0.0
47,Angular (Web Framework),8,0.013217522658610273
48,Angular Material,1,0.0
49,Ansible,6,0.009441087613293053
50,Antivirus Software,13,0.022658610271903325
51,Apache Ant,3,0.0037764350453172203
52,Apache Cassandra,1,0.0
53,Apache Flume,3,0.0037764350453172203
54,Apache Maven,1,0.0
55,Apex Code,10,0.016993957703927493
56,App Store (IOS),4,0.005664652567975831
57,Apple IPad,18,0.03209969788519638
58,Apple Network Servers,31,0.05664652567975831
59,Apple Software Update,22,0.03965256797583082
60,Apple Xcode,3,0.0037764350453172203
61,Application Client,18,0.03209969788519638
62,Application Data,17,0.030211480362537763
63,Application Delivery Controller,18,0.03209969788519638
64,Application Delivery Network,21,0.03776435045317221
65,Application Development,65,0.12084592145015105
66,Application Development Languages,30,0.0547583081570997
67,Application Environments,20,0.035876132930513595
68,Application Layers,1,0.0
69,Application Lifecycle Management,4,0.005664652567975831
70,Application Performance Management,15,0.026435045317220546
71,Application Portfolio Management,6,0.009441087613293053
72,Application Programming Interface (API),71,0.1321752265861027
73,Application Release Automation,12,0.020770392749244714
74,Application Security,22,0.03965256797583082
75,Application Servers,7,0.011329305135951663
76,Application Settings,3,0.0037764350453172203
77,Application-Specific Information,11,0.018882175226586105
78,Applications Architecture,2,0.0018882175226586102
79,ArcGIS (GIS Software),2,0.0018882175226586102
80,Architectural Development,9,0.015105740181268881
81,Architectural Patterns,2,0.0018882175226586102
82,Architecture Framework,6,0.009441087613293053
83,Archive File,4,0.005664652567975831
84,Artificial Intelligence,42,0.07741691842900301
85,Artificial Neural Networks,4,0.005664652567975831
86,Aruba (Network Management Software),15,0.026435045317220546
87,Aspect-Oriented Programming,14,0.024546827794561934
88,Assembly Language,1,0.0
89,Assessment And Authorization,2,0.0018882175226586102
90,Atomicity Consistency Isolation Durability (ACID),4,0.005664652567975831
91,Attack Surface Management,4,0.005664652567975831
92,Attribute Change Package,1,0.0
93,Audit Info System (AIS),10,0.016993957703927493
94,Augmented Reality,16,0.028323262839879154
95,Authentications,92,0.17182779456193353
96,Authoring Systems,2,0.0018882175226586102
97,Authorization (Computing),73,0.13595166163141995
98,Automated Code Review,3,0.0037764350453172203
99,Automated Testing Framework,1,0.0
100,Automatically Programmed Tool,10,0.016993957703927493
101,Automation,341,0.6419939577039275
102,Automation Controls,17,0.030211480362537763
103,Availability Monitoring,1,0.0
104,Avaya (Telecommunications),2,0.0018882175226586102
105,Azure Cloud Services,7,0.011329305135951663
106,Azure Data Factory,2,0.0018882175226586102
107,Azure Kubernetes Service,2,0.0018882175226586102
108,Azure Service Fabric,15,0.026435045317220546
109,Azure Web Apps,2,0.0018882175226586102
110,Back End (Software Engineering),23,0.04154078549848943
111,Background Application,9,0.015105740181268881
112,Backlogs,29,0.05287009063444109
113,Backup And Restore,10,0.016993957703927493
114,Backup Devices,2,0.0018882175226586102
115,Backup Replication,3,0.0037764350453172203
116,Backup Tools (Backup Software),2,0.0018882175226586102
117,Base Stations,1,0.0
118,Bash (Scripting Language),4,0.005664652567975831
119,Basic Internet Skills,16,0.028323262839879154
120,Basis Database,1,0.0
121,Batch Processing,2,0.0018882175226586102
122,Batch Scripting,2,0.0018882175226586102
123,Behavior-Driven Development,11,0.018882175226586105
124,Bing Search,1,0.0
125,Blackberry,2,0.0018882175226586102
126,Blade Servers,1,0.0
127,Blockchain,17,0.030211480362537763
128,BluePrism (RPA Software),1,0.0
129,Bluecoat Proxies,1,0.0
130,Boost (C++ Libraries),51,0.0944108761329305
131,Boosting,29,0.05287009063444109
132,Bootstrap (Front-End Framework),12,0.020770392749244714
133,Brocade Network Technologies,1,0.0
134,Brocade Switches,2,0.0018882175226586102
135,Browser Compatibility,3,0.0037764350453172203
136,Bugzilla,1,0.0
137,Build Automation,7,0.011329305135951663
138,Build Events,3,0.0037764350453172203
139,Build Process,8,0.013217522658610273
140,Business Computer Systems,1,0.0
141,Business Information System,15,0.026435045317220546
142,Business Telephone Systems,3,0.0037764350453172203
143,C (Programming Language),298,0.5608006042296072
144,C-Based Programming Languages,33,0.060422960725075525
145,CLIST,4,0.005664652567975831
146,CPanel,2,0.0018882175226586102
147,Caffe,3,0.0037764350453172203
148,Capacity Management,4,0.005664652567975831
149,CentOS,3,0.0037764350453172203
150,Channel State Information,24,0.043429003021148035
151,Chef (Configuration Management Tool),30,0.0547583081570997
152,Cisco NAC Appliance,20,0.035876132930513595
153,Cisco Networking,132,0.24735649546827793
154,Cisco Nexus Switches,12,0.020770392749244714
155,Cisco Routers,18,0.03209969788519638
156,Cisco Unified Communications Manager,1,0.0
157,Classification And Regression Tree (CART),1,0.0
158,Client Server Models,28,0.050981873111782476
159,Closed Loop,1,0.0
160,Cloud Application Development,16,0.028323262839879154
161,Cloud Computing,31,0.05664652567975831
162,Cloud Computing Architecture,15,0.026435045317220546
163,Cloud Computing Security,49,0.0906344410876133
164,Cloud Engineering,8,0.013217522658610273
165,Cloud Infrastructure,3,0.0037764350453172203
166,Cloud Management,5,0.007552870090634441
167,Cloud Management Platforms,8,0.013217522658610273
168,Cloud Migration,1,0.0
169,Cloud Operations,5,0.007552870090634441
170,Cloud Platform System,5,0.007552870090634441
171,Cloud Services,10,0.016993957703927493
172,Cloud Storage,26,0.04720543806646525
173,Cloud Technologies,16,0.028323262839879154
174,Cloud-Native Architecture,18,0.03209969788519638
175,Cloud-Native Infrastructure,60,0.111404833836858
176,Cocoa Touch,1,0.0
177,Code Comments,1,0.0
178,Code Composer Studio,3,0.0037764350453172203
179,Code Generation,3,0.0037764350453172203
180,Code Refactoring,3,0.0037764350453172203
181,Code Review,9,0.015105740181268881
182,Code Testing,24,0.043429003021148035
183,CodeIgniter,1,0.0
184,Codebase,2,0.0018882175226586102
185,Collaborative Filtering,4,0.005664652567975831
186,Collaborative Software,23,0.04154078549848943
187,Command Controls,4,0.005664652567975831
188,Common Technical Document,13,0.022658610271903325
189,Communications Protocols,15,0.026435045317220546
190,Communications Security,43,0.07930513595166164
191,Communications Server,1,0.0
192,Communications Systems,21,0.03776435045317221
193,Compilers,96,0.17938066465256797
194,Complex Networks,12,0.020770392749244714
195,Component Object Model (COM),484,0.9120090634441087
196,Computer Data Storage,4,0.005664652567975831
197,Computer Hardware,92,0.17182779456193353
198,Computer Literacy,28,0.050981873111782476
199,Computer Maintenance,88,0.16427492447129907
200,Computer Network Defense,1,0.0
201,Computer Network Operations,96,0.17938066465256797
202,Computer Networks,89,0.1661631419939577
203,Computer Performance,4,0.005664652567975831
204,Computer Programming,70,0.13028700906344412
205,Computer Repair,12,0.020770392749244714
206,Computer Science,327,0.6155589123867069
