,skills_list,count,rate
0,Ability To Meet Deadlines,16,0.018856977081520163
1,Accountability,429,0.61792863359443
2,Active Learning,30,0.03916449086161879
3,Active Listening,22,0.027560197272991006
4,Adaptability,218,0.3118653901943719
5,Administrative Skills,20,0.024659123875834056
6,Agenda (Meeting),41,0.05512039454598201
7,Analytical Skills,155,0.22048157818392805
8,Arabic Language,679,0.9805628082390484
9,Brainstorming,18,0.02175805047867711
10,Business Administration,164,0.23353640847113433
11,Business Operations,44,0.05947200464171743
12,Business Proposals,8,0.00725268349289237
13,Checklists,28,0.03626341746446185
14,Cleanliness,50,0.06817522483318827
15,Collaboration,1245,1.8015665796344649
16,Communications,2325,3.368146214099217
17,Complex Problem Solving,78,0.10879025239338555
18,Construction,543,0.783289817232376
19,Consulting,992,1.434580794894111
20,Cooperation,137,0.1943719176095155
21,Coordinating,1257,1.8189730200174066
22,Creative Problem-Solving,101,0.14215259646069045
23,Creative Thinking,37,0.04931824775166811
24,Creativity,413,0.5947200464171744
25,Critical Thinking,26,0.03336234406730491
26,Customer Service,411,0.5918189730200174
27,Data Entry,63,0.08703220191470844
28,Decision Making,266,0.3814911517261387
29,Detail Oriented,23,0.02901073397156948
30,Diplomacy,3,0.0
31,Editing,77,0.10733971569480708
32,Energetic,25,0.031911807368726425
33,English Language,853,1.2329561937917028
34,Enthusiasm,54,0.07397737162750218
35,Evaluate Information,17,0.020307513780098638
36,Goal Oriented,18,0.02175805047867711
37,Goal Setting,39,0.05221932114882506
38,Governance,464,0.6686974180446765
39,Grammar,16,0.018856977081520163
40,Imagination,15,0.017406440382941687
41,Influencing Skills,62,0.08558166521612996
42,Information Gathering,53,0.0725268349289237
43,Ingenuity,29,0.037713954163040325
44,Innovation,1152,1.6666666666666665
45,Integration,797,1.1517261386713082
46,Interpersonal Communications,131,0.18566869741804468
47,Leadership,725,1.0472874963736583
48,Leadership Development,44,0.05947200464171743
49,Learning Strategies,9,0.008703220191470844
50,Listening Skills,19,0.023208587177255584
51,Management,3450,5.0
52,Mentorship,31,0.040615027560197275
53,Multitasking,56,0.07687844502465913
54,Non-Verbal Communication,39,0.05221932114882506
55,Operations,2807,4.067304902814041
56,Organizational Skills,72,0.10008703220191471
57,Patience,6,0.004351610095735422
58,People Management,47,0.06382361473745285
59,Persistence,47,0.06382361473745285
60,Personal Integrity,28,0.03626341746446185
61,Planning,1909,2.7647229474905717
62,Positive Mental Attitude,33,0.04351610095735422
63,Positivity,1689,2.4456048738033074
64,Presentations,1139,1.6478096895851466
65,Prioritization,239,0.34232666086451985
66,Proactivity,468,0.6744995648389904
67,Problem Solving,548,0.7905425007252684
68,Professionalism,1222,1.7682042355671599
69,Program Management,92,0.12909776617348417
70,Punctuality,7,0.005802146794313896
71,Quality Assurance,172,0.2451407020597621
72,Quick Learning,13,0.01450536698578474
73,Relationship Management,122,0.17261386713083843
74,Reliability,255,0.3655352480417755
75,Research,570,0.8224543080939948
76,Reservations,96,0.13489991296779807
77,Resilience,57,0.07832898172323759
78,Sales,2601,3.768494342906876
79,Scheduling,1005,1.453437771975631
80,Self Confident,15,0.017406440382941687
81,Self Starter,84,0.1174934725848564
82,Self-Motivation,74,0.10298810559907166
83,Sincerity,12,0.013054830287206266
84,Social Media,288,0.41340295909486513
85,Social Skills,7,0.005802146794313896
86,Solutions Focused,24,0.030461270670147957
87,Spreadsheets,61,0.0841311285175515
88,Strategic Thinking,52,0.07107629823034523
89,Supervision,620,0.8949811430229184
90,Teaching,244,0.3495793443574122
91,Team Building,73,0.10153756890049319
92,Team Effectiveness,47,0.06382361473745285
93,Team Leadership,65,0.0899332753118654
94,Team Management,148,0.21032782129387873
95,Team Motivation,35,0.04641717435451117
96,Team Performance Management,139,0.19727299100667245
97,Teamwork,108,0.15230635335073978
98,Time Management,225,0.32201914708442125
99,Timelines,122,0.17261386713083843
100,Training And Development,132,0.18711923411662312
101,Troubleshooting (Problem Solving),398,0.5729619959384973
102,Trustworthiness,3,0.0
103,Verbal Communication Skills,860,1.2431099506817522
104,Virtual Teams,12,0.013054830287206266
105,Visionary,23,0.02901073397156948
106,Willingness To Learn,82,0.11459239918769945
107,Working Quickly,4,0.001450536698578474
108,Writing,460,0.6628952712503626
109,Written Communication,166,0.23643748186829128
110,Written English,48,0.06527415143603132
