,skills_list,count,rate,skills_list_catogrised
0,Ability To Meet Deadlines,16,0.018856977081520163,0
1,Accountability,429,0.61792863359443,1
2,Active Learning,30,0.03916449086161879,2
3,Active Listening,22,0.027560197272991006,3
4,Adaptability,218,0.3118653901943719,4
5,Administrative Skills,20,0.024659123875834056,5
6,Agenda (Meeting),41,0.05512039454598201,6
7,Analytical Skills,155,0.22048157818392805,7
8,Arabic Language,679,0.9805628082390484,8
9,Brainstorming,18,0.02175805047867711,9
10,Business Administration,164,0.23353640847113433,10
11,Business Operations,44,0.05947200464171743,11
12,Business Proposals,8,0.00725268349289237,12
13,Checklists,28,0.03626341746446185,13
14,Cleanliness,50,0.06817522483318827,14
15,Collaboration,1245,1.8015665796344649,15
16,Communications,2325,3.368146214099217,16
17,Complex Problem Solving,78,0.10879025239338555,17
18,Construction,543,0.783289817232376,18
19,Consulting,992,1.434580794894111,19
20,Cooperation,137,0.1943719176095155,20
21,Coordinating,1257,1.8189730200174066,21
22,Creative Problem-Solving,101,0.14215259646069045,22
23,Creative Thinking,37,0.04931824775166811,23
24,Creativity,413,0.5947200464171744,24
25,Critical Thinking,26,0.03336234406730491,25
26,Customer Service,411,0.5918189730200174,26
27,Data Entry,63,0.08703220191470844,27
28,Decision Making,266,0.3814911517261387,28
29,Detail Oriented,23,0.02901073397156948,29
30,Diplomacy,3,0.0,30
31,Editing,77,0.10733971569480708,31
32,Energetic,25,0.031911807368726425,32
33,English Language,853,1.2329561937917028,33
34,Enthusiasm,54,0.07397737162750218,34
35,Evaluate Information,17,0.020307513780098638,35
36,Goal Oriented,18,0.02175805047867711,36
37,Goal Setting,39,0.05221932114882506,37
38,Governance,464,0.6686974180446765,38
39,Grammar,16,0.018856977081520163,39
40,Imagination,15,0.017406440382941687,40
41,Influencing Skills,62,0.08558166521612996,41
42,Information Gathering,53,0.0725268349289237,42
43,Ingenuity,29,0.037713954163040325,43
44,Innovation,1152,1.6666666666666665,44
45,Integration,797,1.1517261386713082,45
46,Interpersonal Communications,131,0.18566869741804468,46
47,Leadership,725,1.0472874963736583,47
48,Leadership Development,44,0.05947200464171743,48
49,Learning Strategies,9,0.008703220191470844,49
50,Listening Skills,19,0.023208587177255584,50
51,Management,3450,5.0,51
52,Mentorship,31,0.040615027560197275,52
53,Multitasking,56,0.07687844502465913,53
54,Non-Verbal Communication,39,0.05221932114882506,54
55,Operations,2807,4.067304902814041,55
56,Organizational Skills,72,0.10008703220191471,56
57,Patience,6,0.004351610095735422,57
58,People Management,47,0.06382361473745285,58
59,Persistence,47,0.06382361473745285,59
60,Personal Integrity,28,0.03626341746446185,60
61,Planning,1909,2.7647229474905717,61
62,Positive Mental Attitude,33,0.04351610095735422,62
63,Positivity,1689,2.4456048738033074,63
64,Presentations,1139,1.6478096895851466,64
65,Prioritization,239,0.34232666086451985,65
66,Proactivity,468,0.6744995648389904,66
67,Problem Solving,548,0.7905425007252684,67
68,Professionalism,1222,1.7682042355671599,68
69,Program Management,92,0.12909776617348417,69
70,Punctuality,7,0.005802146794313896,70
71,Quality Assurance,172,0.2451407020597621,71
72,Quick Learning,13,0.01450536698578474,72
73,Relationship Management,122,0.17261386713083843,73
74,Reliability,255,0.3655352480417755,74
75,Research,570,0.8224543080939948,75
76,Reservations,96,0.13489991296779807,76
77,Resilience,57,0.07832898172323759,77
78,Sales,2601,3.768494342906876,78
79,Scheduling,1005,1.453437771975631,79
80,Self Confident,15,0.017406440382941687,80
81,Self Starter,84,0.1174934725848564,81
82,Self-Motivation,74,0.10298810559907166,82
83,Sincerity,12,0.013054830287206266,83
84,Social Media,288,0.41340295909486513,84
85,Social Skills,7,0.005802146794313896,85
86,Solutions Focused,24,0.030461270670147957,86
87,Spreadsheets,61,0.0841311285175515,87
88,Strategic Thinking,52,0.07107629823034523,88
89,Supervision,620,0.8949811430229184,89
90,Teaching,244,0.3495793443574122,90
91,Team Building,73,0.10153756890049319,91
92,Team Effectiveness,47,0.06382361473745285,92
93,Team Leadership,65,0.0899332753118654,93
94,Team Management,148,0.21032782129387873,94
95,Team Motivation,35,0.04641717435451117,95
96,Team Performance Management,139,0.19727299100667245,96
97,Teamwork,108,0.15230635335073978,97
98,Time Management,225,0.32201914708442125,98
99,Timelines,122,0.17261386713083843,99
100,Training And Development,132,0.18711923411662312,100
101,Troubleshooting (Problem Solving),398,0.5729619959384973,101
102,Trustworthiness,3,0.0,102
103,Verbal Communication Skills,860,1.2431099506817522,103
104,Virtual Teams,12,0.013054830287206266,104
105,Visionary,23,0.02901073397156948,105
106,Willingness To Learn,82,0.11459239918769945,106
107,Working Quickly,4,0.001450536698578474,107
108,Writing,460,0.6628952712503626,108
109,Written Communication,166,0.23643748186829128,109
110,Written English,48,0.06527415143603132,110
